Training Details:
Episode 168: Reward -50.60, Steps 1440, Epsilon 0.59
Episode 169: Reward -53.33, Steps 1440, Epsilon 0.59
Episode 170: Reward -52.49, Steps 1440, Epsilon 0.59
Episode 171: Reward -48.39, Steps 1440, Epsilon 0.59
Episode 172: Reward -55.38, Steps 1440, Epsilon 0.59
Episode 173: Reward -50.97, Steps 1440, Epsilon 0.58
Episode 174: Reward -51.93, Steps 1440, Epsilon 0.58
Episode 175: Reward -51.04, Steps 1440, Epsilon 0.58
Episode 176: Reward -50.54, Steps 1440, Epsilon 0.58
Episode 177: Reward -50.43, Steps 1440, Epsilon 0.58
Episode 178: Reward -49.89, Steps 1440, Epsilon 0.57
Episode 179: Reward -50.71, Steps 1440, Epsilon 0.57
Episode 180: Reward -52.87, Steps 1440, Epsilon 0.57
Episode 181: Reward -48.59, Steps 1440, Epsilon 0.57
Episode 182: Reward -50.25, Steps 1440, Epsilon 0.57
Episode 183: Reward -51.04, Steps 1440, Epsilon 0.57
Episode 184: Reward -50.22, Steps 1440, Epsilon 0.56
Episode 185: Reward -48.89, Steps 1440, Epsilon 0.56
Episode 186: Reward -49.84, Steps 1440, Epsilon 0.56
Episode 187: Reward -50.63, Steps 1440, Epsilon 0.56
Episode 188: Reward -55.47, Steps 1440, Epsilon 0.56
Episode 189: Reward -49.86, Steps 1440, Epsilon 0.56
Episode 190: Reward -52.04, Steps 1440, Epsilon 0.55
Episode 191: Reward -50.68, Steps 1440, Epsilon 0.55
Episode 192: Reward -51.55, Steps 1440, Epsilon 0.55
Episode 193: Reward -51.60, Steps 1440, Epsilon 0.55
Episode 194: Reward -52.77, Steps 1440, Epsilon 0.55
Episode 195: Reward -52.48, Steps 1440, Epsilon 0.55
Episode 196: Reward -51.54, Steps 1440, Epsilon 0.54
Episode 197: Reward -49.81, Steps 1440, Epsilon 0.54
Episode 198: Reward -50.22, Steps 1440, Epsilon 0.54
Episode 199: Reward -51.20, Steps 1440, Epsilon 0.54
Episode 200: Reward -52.51, Steps 1440, Epsilon 0.54
Episode 201: Reward -51.62, Steps 1440, Epsilon 0.54
Episode 202: Reward -49.71, Steps 1440, Epsilon 0.53
Episode 203: Reward -51.61, Steps 1440, Epsilon 0.53
Episode 204: Reward -50.92, Steps 1440, Epsilon 0.53
Episode 205: Reward -50.56, Steps 1440, Epsilon 0.53
Episode 206: Reward -49.67, Steps 1440, Epsilon 0.53
Episode 207: Reward -48.07, Steps 1440, Epsilon 0.53
Episode 208: Reward -47.28, Steps 1440, Epsilon 0.52
Episode 209: Reward -47.52, Steps 1440, Epsilon 0.52
Episode 210: Reward -50.63, Steps 1440, Epsilon 0.52
Episode 211: Reward -48.37, Steps 1440, Epsilon 0.52
Episode 212: Reward -49.11, Steps 1440, Epsilon 0.52
Episode 213: Reward -52.31, Steps 1440, Epsilon 0.52
Episode 214: Reward -50.08, Steps 1440, Epsilon 0.52
Episode 215: Reward -49.27, Steps 1440, Epsilon 0.51
Episode 216: Reward -50.47, Steps 1440, Epsilon 0.51
Episode 217: Reward -48.26, Steps 1440, Epsilon 0.51
Episode 218: Reward -49.00, Steps 1440, Epsilon 0.51
Episode 219: Reward -48.68, Steps 1440, Epsilon 0.51
Episode 220: Reward -47.67, Steps 1440, Epsilon 0.51
Episode 221: Reward -48.52, Steps 1440, Epsilon 0.50
Episode 222: Reward -48.83, Steps 1440, Epsilon 0.50
Episode 223: Reward -48.73, Steps 1440, Epsilon 0.50
Episode 224: Reward -49.73, Steps 1440, Epsilon 0.50
Episode 225: Reward -48.61, Steps 1440, Epsilon 0.50
Episode 226: Reward -50.55, Steps 1440, Epsilon 0.50
Episode 227: Reward -48.68, Steps 1440, Epsilon 0.50
Episode 228: Reward -46.64, Steps 1440, Epsilon 0.49
Episode 229: Reward -47.44, Steps 1440, Epsilon 0.49
Episode 230: Reward -50.91, Steps 1440, Epsilon 0.49
Episode 231: Reward -46.33, Steps 1440, Epsilon 0.49
Episode 232: Reward -47.74, Steps 1440, Epsilon 0.49
Episode 233: Reward -48.74, Steps 1440, Epsilon 0.49
Episode 234: Reward -48.43, Steps 1440, Epsilon 0.49
Episode 235: Reward -48.20, Steps 1440, Epsilon 0.48
Episode 236: Reward -46.93, Steps 1440, Epsilon 0.48
Episode 237: Reward -48.85, Steps 1440, Epsilon 0.48
Episode 238: Reward -46.51, Steps 1440, Epsilon 0.48
Episode 239: Reward -45.53, Steps 1440, Epsilon 0.48
Episode 240: Reward -45.90, Steps 1440, Epsilon 0.48
Episode 241: Reward -48.63, Steps 1440, Epsilon 0.48
Episode 242: Reward -46.37, Steps 1440, Epsilon 0.47
Episode 243: Reward -48.93, Steps 1440, Epsilon 0.47
Episode 244: Reward -48.06, Steps 1440, Epsilon 0.47
Episode 245: Reward -47.25, Steps 1440, Epsilon 0.47
Episode 246: Reward -45.96, Steps 1440, Epsilon 0.47
Episode 247: Reward -49.98, Steps 1440, Epsilon 0.47
Episode 248: Reward -47.29, Steps 1440, Epsilon 0.47
Episode 249: Reward -45.58, Steps 1440, Epsilon 0.46
Episode 250: Reward -45.23, Steps 1440, Epsilon 0.46
Episode 251: Reward -46.67, Steps 1440, Epsilon 0.46
Episode 252: Reward -46.66, Steps 1440, Epsilon 0.46
Episode 253: Reward -45.60, Steps 1440, Epsilon 0.46
Episode 254: Reward -41.92, Steps 1440, Epsilon 0.46
