Training Details:
Episode 161: Reward -23.62, Steps 288, Epsilon 0.95
Episode 162: Reward -24.37, Steps 288, Epsilon 0.95
Episode 163: Reward -25.35, Steps 288, Epsilon 0.95
Episode 164: Reward -24.28, Steps 288, Epsilon 0.95
Episode 165: Reward -22.84, Steps 288, Epsilon 0.95
Episode 166: Reward -24.20, Steps 288, Epsilon 0.95
Episode 167: Reward -25.55, Steps 288, Epsilon 0.95
Episode 168: Reward -24.08, Steps 288, Epsilon 0.95
Episode 169: Reward -22.96, Steps 288, Epsilon 0.95
Episode 170: Reward -26.39, Steps 288, Epsilon 0.95
Episode 171: Reward -24.84, Steps 288, Epsilon 0.95
Episode 172: Reward -25.26, Steps 288, Epsilon 0.95
Episode 173: Reward -26.11, Steps 288, Epsilon 0.95
Episode 174: Reward -25.79, Steps 288, Epsilon 0.95
Episode 175: Reward -23.88, Steps 288, Epsilon 0.95
Episode 176: Reward -22.47, Steps 288, Epsilon 0.95
Episode 177: Reward -25.92, Steps 288, Epsilon 0.95
Episode 178: Reward -24.84, Steps 288, Epsilon 0.95
Episode 179: Reward -23.56, Steps 288, Epsilon 0.94
Episode 180: Reward -23.57, Steps 288, Epsilon 0.94
Episode 181: Reward -25.60, Steps 288, Epsilon 0.94
Episode 182: Reward -26.17, Steps 288, Epsilon 0.94
Episode 183: Reward -26.75, Steps 288, Epsilon 0.94
Episode 184: Reward -22.71, Steps 288, Epsilon 0.94
Episode 185: Reward -24.92, Steps 288, Epsilon 0.94
Episode 186: Reward -24.71, Steps 288, Epsilon 0.94
Episode 187: Reward -26.16, Steps 288, Epsilon 0.94
Episode 188: Reward -25.26, Steps 288, Epsilon 0.94
Episode 189: Reward -24.49, Steps 288, Epsilon 0.94
Episode 190: Reward -25.70, Steps 288, Epsilon 0.94
Episode 191: Reward -26.67, Steps 288, Epsilon 0.94
Episode 192: Reward -25.03, Steps 288, Epsilon 0.94
Episode 193: Reward -24.91, Steps 288, Epsilon 0.94
Episode 194: Reward -24.22, Steps 288, Epsilon 0.94
Episode 195: Reward -25.39, Steps 288, Epsilon 0.94
Episode 196: Reward -25.87, Steps 288, Epsilon 0.94
Episode 197: Reward -26.30, Steps 288, Epsilon 0.94
Episode 198: Reward -26.80, Steps 288, Epsilon 0.94
Episode 199: Reward -23.83, Steps 288, Epsilon 0.94
Episode 200: Reward -21.64, Steps 288, Epsilon 0.94
Episode 201: Reward -22.94, Steps 288, Epsilon 0.94
Episode 202: Reward -27.99, Steps 288, Epsilon 0.94
Episode 203: Reward -25.11, Steps 288, Epsilon 0.94
Episode 204: Reward -26.16, Steps 288, Epsilon 0.94
Episode 205: Reward -24.00, Steps 288, Epsilon 0.94
Episode 206: Reward -23.94, Steps 288, Epsilon 0.94
Episode 207: Reward -26.11, Steps 288, Epsilon 0.94
Episode 208: Reward -24.52, Steps 288, Epsilon 0.94
Episode 209: Reward -21.79, Steps 288, Epsilon 0.94
Episode 210: Reward -22.84, Steps 288, Epsilon 0.94
Episode 211: Reward -28.07, Steps 288, Epsilon 0.94
Episode 212: Reward -24.12, Steps 288, Epsilon 0.94
Episode 213: Reward -22.39, Steps 288, Epsilon 0.93
Episode 214: Reward -26.88, Steps 288, Epsilon 0.93
Episode 215: Reward -26.83, Steps 288, Epsilon 0.93
Episode 216: Reward -25.33, Steps 288, Epsilon 0.93
Episode 217: Reward -24.46, Steps 288, Epsilon 0.93
Episode 218: Reward -26.41, Steps 288, Epsilon 0.93
Episode 219: Reward -24.80, Steps 288, Epsilon 0.93
Episode 220: Reward -24.96, Steps 288, Epsilon 0.93
Episode 221: Reward -26.27, Steps 288, Epsilon 0.93
Episode 222: Reward -26.62, Steps 288, Epsilon 0.93
Episode 223: Reward -25.83, Steps 288, Epsilon 0.93
Episode 224: Reward -24.93, Steps 288, Epsilon 0.93
Episode 225: Reward -26.26, Steps 288, Epsilon 0.93
Episode 226: Reward -24.86, Steps 288, Epsilon 0.93
Episode 227: Reward -24.36, Steps 288, Epsilon 0.93
Episode 228: Reward -24.32, Steps 288, Epsilon 0.93
Episode 229: Reward -24.25, Steps 288, Epsilon 0.93
Episode 230: Reward -24.46, Steps 288, Epsilon 0.93
Episode 231: Reward -24.68, Steps 288, Epsilon 0.93
Episode 232: Reward -23.85, Steps 288, Epsilon 0.93
Episode 233: Reward -24.94, Steps 288, Epsilon 0.93
Episode 234: Reward -27.06, Steps 288, Epsilon 0.93
Episode 235: Reward -23.86, Steps 288, Epsilon 0.93
Episode 236: Reward -27.30, Steps 288, Epsilon 0.93
Episode 237: Reward -25.31, Steps 288, Epsilon 0.93
Episode 238: Reward -25.88, Steps 288, Epsilon 0.93
Episode 239: Reward -24.74, Steps 288, Epsilon 0.93
Episode 240: Reward -24.04, Steps 288, Epsilon 0.93
Episode 241: Reward -26.15, Steps 288, Epsilon 0.93
Episode 242: Reward -22.21, Steps 288, Epsilon 0.93
Episode 243: Reward -26.35, Steps 288, Epsilon 0.93
Episode 244: Reward -22.87, Steps 288, Epsilon 0.93
Episode 245: Reward -25.76, Steps 288, Epsilon 0.93
Episode 246: Reward -25.36, Steps 288, Epsilon 0.93
Episode 247: Reward -23.35, Steps 288, Epsilon 0.92
Episode 248: Reward -24.38, Steps 288, Epsilon 0.92
Episode 249: Reward -25.01, Steps 288, Epsilon 0.92
Episode 250: Reward -23.09, Steps 288, Epsilon 0.92
Episode 251: Reward -22.12, Steps 288, Epsilon 0.92
Episode 252: Reward -25.68, Steps 288, Epsilon 0.92
Episode 253: Reward -22.27, Steps 288, Epsilon 0.92
Episode 254: Reward -25.97, Steps 288, Epsilon 0.92
Episode 255: Reward -21.25, Steps 288, Epsilon 0.92
Episode 256: Reward -25.38, Steps 288, Epsilon 0.92
Episode 257: Reward -24.14, Steps 288, Epsilon 0.92
Episode 258: Reward -25.52, Steps 288, Epsilon 0.92
Episode 259: Reward -27.68, Steps 288, Epsilon 0.92
Episode 260: Reward -24.46, Steps 288, Epsilon 0.92
Episode 261: Reward -26.28, Steps 288, Epsilon 0.92
Episode 262: Reward -25.86, Steps 288, Epsilon 0.92
Episode 263: Reward -25.09, Steps 288, Epsilon 0.92
Episode 264: Reward -25.28, Steps 288, Epsilon 0.92
Episode 265: Reward -25.60, Steps 288, Epsilon 0.92
Episode 266: Reward -23.78, Steps 288, Epsilon 0.92
