Training Details:
Episode 148: Reward -55.74, Steps 1440, Epsilon 0.63
Episode 149: Reward -54.09, Steps 1440, Epsilon 0.63
Episode 150: Reward -54.12, Steps 1440, Epsilon 0.63
Episode 151: Reward -56.82, Steps 1440, Epsilon 0.62
Episode 152: Reward -55.82, Steps 1440, Epsilon 0.62
Episode 153: Reward -52.97, Steps 1440, Epsilon 0.62
Episode 154: Reward -53.39, Steps 1440, Epsilon 0.62
Episode 155: Reward -56.35, Steps 1440, Epsilon 0.62
Episode 156: Reward -54.97, Steps 1440, Epsilon 0.61
Episode 157: Reward -52.73, Steps 1440, Epsilon 0.61
Episode 158: Reward -51.74, Steps 1440, Epsilon 0.61
Episode 159: Reward -51.01, Steps 1440, Epsilon 0.61
Episode 160: Reward -56.68, Steps 1440, Epsilon 0.61
Episode 161: Reward -51.32, Steps 1440, Epsilon 0.61
Episode 162: Reward -51.02, Steps 1440, Epsilon 0.60
Episode 163: Reward -53.34, Steps 1440, Epsilon 0.60
Episode 164: Reward -51.66, Steps 1440, Epsilon 0.60
Episode 165: Reward -52.05, Steps 1440, Epsilon 0.60
Episode 166: Reward -51.87, Steps 1440, Epsilon 0.60
Episode 167: Reward -51.88, Steps 1440, Epsilon 0.59
Episode 168: Reward -51.78, Steps 1440, Epsilon 0.59
Episode 169: Reward -50.75, Steps 1440, Epsilon 0.59
Episode 170: Reward -51.97, Steps 1440, Epsilon 0.59
Episode 171: Reward -48.24, Steps 1440, Epsilon 0.59
Episode 172: Reward -51.61, Steps 1440, Epsilon 0.59
Episode 173: Reward -52.86, Steps 1440, Epsilon 0.58
Episode 174: Reward -52.50, Steps 1440, Epsilon 0.58
Episode 175: Reward -49.95, Steps 1440, Epsilon 0.58
Episode 176: Reward -51.99, Steps 1440, Epsilon 0.58
Episode 177: Reward -49.44, Steps 1440, Epsilon 0.58
Episode 178: Reward -51.21, Steps 1440, Epsilon 0.57
Episode 179: Reward -50.73, Steps 1440, Epsilon 0.57
Episode 180: Reward -49.40, Steps 1440, Epsilon 0.57
Episode 181: Reward -50.96, Steps 1440, Epsilon 0.57
Episode 182: Reward -49.35, Steps 1440, Epsilon 0.57
Episode 183: Reward -51.84, Steps 1440, Epsilon 0.57
Episode 184: Reward -50.11, Steps 1440, Epsilon 0.56
Episode 185: Reward -51.57, Steps 1440, Epsilon 0.56
Episode 186: Reward -48.63, Steps 1440, Epsilon 0.56
Episode 187: Reward -46.48, Steps 1440, Epsilon 0.56
Episode 188: Reward -48.83, Steps 1440, Epsilon 0.56
Episode 189: Reward -48.48, Steps 1440, Epsilon 0.56
Episode 190: Reward -50.61, Steps 1440, Epsilon 0.55
Episode 191: Reward -49.40, Steps 1440, Epsilon 0.55
Episode 192: Reward -48.96, Steps 1440, Epsilon 0.55
Episode 193: Reward -48.33, Steps 1440, Epsilon 0.55
Episode 194: Reward -47.41, Steps 1440, Epsilon 0.55
Episode 195: Reward -52.33, Steps 1440, Epsilon 0.55
Episode 196: Reward -53.62, Steps 1440, Epsilon 0.54
Episode 197: Reward -47.20, Steps 1440, Epsilon 0.54
Episode 198: Reward -50.09, Steps 1440, Epsilon 0.54
Episode 199: Reward -50.24, Steps 1440, Epsilon 0.54
Episode 200: Reward -47.36, Steps 1440, Epsilon 0.54
Episode 201: Reward -48.28, Steps 1440, Epsilon 0.54
Episode 202: Reward -49.07, Steps 1440, Epsilon 0.53
Episode 203: Reward -51.68, Steps 1440, Epsilon 0.53
Episode 204: Reward -48.11, Steps 1440, Epsilon 0.53
Episode 205: Reward -47.74, Steps 1440, Epsilon 0.53
Episode 206: Reward -50.99, Steps 1440, Epsilon 0.53
Episode 207: Reward -47.61, Steps 1440, Epsilon 0.53
Episode 208: Reward -50.52, Steps 1440, Epsilon 0.52
Episode 209: Reward -51.10, Steps 1440, Epsilon 0.52
Episode 210: Reward -50.01, Steps 1440, Epsilon 0.52
Episode 211: Reward -47.00, Steps 1440, Epsilon 0.52
Episode 212: Reward -48.35, Steps 1440, Epsilon 0.52
Episode 213: Reward -50.06, Steps 1440, Epsilon 0.52
Episode 214: Reward -47.92, Steps 1440, Epsilon 0.52
Episode 215: Reward -49.06, Steps 1440, Epsilon 0.51
Episode 216: Reward -47.48, Steps 1440, Epsilon 0.51
Episode 217: Reward -48.42, Steps 1440, Epsilon 0.51
Episode 218: Reward -49.01, Steps 1440, Epsilon 0.51
Episode 219: Reward -49.58, Steps 1440, Epsilon 0.51
Episode 220: Reward -48.37, Steps 1440, Epsilon 0.51
Episode 221: Reward -47.53, Steps 1440, Epsilon 0.50
Episode 222: Reward -46.32, Steps 1440, Epsilon 0.50
Episode 223: Reward -45.68, Steps 1440, Epsilon 0.50
Episode 224: Reward -47.06, Steps 1440, Epsilon 0.50
Episode 225: Reward -49.35, Steps 1440, Epsilon 0.50
Episode 226: Reward -48.62, Steps 1440, Epsilon 0.50
Episode 227: Reward -47.40, Steps 1440, Epsilon 0.50
Episode 228: Reward -46.44, Steps 1440, Epsilon 0.49
Episode 229: Reward -44.91, Steps 1440, Epsilon 0.49
Episode 230: Reward -43.36, Steps 1440, Epsilon 0.49
Episode 231: Reward -48.02, Steps 1440, Epsilon 0.49
Episode 232: Reward -47.49, Steps 1440, Epsilon 0.49
Episode 233: Reward -46.84, Steps 1440, Epsilon 0.49
Episode 234: Reward -47.46, Steps 1440, Epsilon 0.49
Episode 235: Reward -49.27, Steps 1440, Epsilon 0.48
Episode 236: Reward -44.65, Steps 1440, Epsilon 0.48
Episode 237: Reward -47.15, Steps 1440, Epsilon 0.48
Episode 238: Reward -46.93, Steps 1440, Epsilon 0.48
Episode 239: Reward -47.75, Steps 1440, Epsilon 0.48
Episode 240: Reward -47.27, Steps 1440, Epsilon 0.48
Episode 241: Reward -43.31, Steps 1440, Epsilon 0.48
Episode 242: Reward -42.72, Steps 1440, Epsilon 0.47
Episode 243: Reward -46.99, Steps 1440, Epsilon 0.47
Episode 244: Reward -43.91, Steps 1440, Epsilon 0.47
Episode 245: Reward -47.27, Steps 1440, Epsilon 0.47
Episode 246: Reward -44.18, Steps 1440, Epsilon 0.47
Episode 247: Reward -46.20, Steps 1440, Epsilon 0.47
Episode 248: Reward -44.36, Steps 1440, Epsilon 0.47
Episode 249: Reward -46.29, Steps 1440, Epsilon 0.46
Episode 250: Reward -44.78, Steps 1440, Epsilon 0.46
Episode 251: Reward -41.70, Steps 1440, Epsilon 0.46
Episode 252: Reward -44.75, Steps 1440, Epsilon 0.46
Episode 253: Reward -44.00, Steps 1440, Epsilon 0.46
Episode 254: Reward -42.87, Steps 1440, Epsilon 0.46
Episode 255: Reward -44.75, Steps 1440, Epsilon 0.46
Episode 256: Reward -46.47, Steps 1440, Epsilon 0.45
Episode 257: Reward -45.72, Steps 1440, Epsilon 0.45
Episode 258: Reward -46.00, Steps 1440, Epsilon 0.45
Episode 259: Reward -47.86, Steps 1440, Epsilon 0.45
Episode 260: Reward -41.97, Steps 1440, Epsilon 0.45
Episode 261: Reward -45.31, Steps 1440, Epsilon 0.45
Episode 262: Reward -44.43, Steps 1440, Epsilon 0.45
Episode 263: Reward -44.96, Steps 1440, Epsilon 0.45
Episode 264: Reward -43.98, Steps 1440, Epsilon 0.44
Episode 265: Reward -46.53, Steps 1440, Epsilon 0.44
Episode 266: Reward -47.32, Steps 1440, Epsilon 0.44
Episode 267: Reward -44.69, Steps 1440, Epsilon 0.44
Episode 268: Reward -42.79, Steps 1440, Epsilon 0.44
Episode 269: Reward -46.91, Steps 1440, Epsilon 0.44
Episode 270: Reward -45.73, Steps 1440, Epsilon 0.44
Episode 271: Reward -42.27, Steps 1440, Epsilon 0.43
Episode 272: Reward -45.56, Steps 1440, Epsilon 0.43
Episode 273: Reward -44.48, Steps 1440, Epsilon 0.43
Episode 274: Reward -44.75, Steps 1440, Epsilon 0.43
Episode 275: Reward -45.81, Steps 1440, Epsilon 0.43
Episode 276: Reward -43.60, Steps 1440, Epsilon 0.43
Episode 277: Reward -44.09, Steps 1440, Epsilon 0.43
Episode 278: Reward -44.65, Steps 1440, Epsilon 0.43
Episode 279: Reward -44.97, Steps 1440, Epsilon 0.42
Episode 280: Reward -42.74, Steps 1440, Epsilon 0.42
Episode 281: Reward -44.33, Steps 1440, Epsilon 0.42
Episode 282: Reward -45.48, Steps 1440, Epsilon 0.42
Episode 283: Reward -43.91, Steps 1440, Epsilon 0.42
Episode 284: Reward -40.66, Steps 1440, Epsilon 0.42
Episode 285: Reward -43.03, Steps 1440, Epsilon 0.42
Episode 286: Reward -42.01, Steps 1440, Epsilon 0.42
Episode 287: Reward -40.85, Steps 1440, Epsilon 0.41
Episode 288: Reward -41.66, Steps 1440, Epsilon 0.41
Episode 289: Reward -39.85, Steps 1440, Epsilon 0.41
Episode 290: Reward -45.14, Steps 1440, Epsilon 0.41
Episode 291: Reward -43.62, Steps 1440, Epsilon 0.41
Episode 292: Reward -41.43, Steps 1440, Epsilon 0.41
Episode 293: Reward -42.47, Steps 1440, Epsilon 0.41
Episode 294: Reward -41.59, Steps 1440, Epsilon 0.41
Episode 295: Reward -43.96, Steps 1440, Epsilon 0.41
Episode 296: Reward -41.97, Steps 1440, Epsilon 0.40
Episode 297: Reward -44.05, Steps 1440, Epsilon 0.40
Episode 298: Reward -42.43, Steps 1440, Epsilon 0.40
Episode 299: Reward -44.89, Steps 1440, Epsilon 0.40
Episode 300: Reward -42.65, Steps 1440, Epsilon 0.40
Episode 301: Reward -41.62, Steps 1440, Epsilon 0.40
Episode 302: Reward -41.64, Steps 1440, Epsilon 0.40
Episode 303: Reward -43.16, Steps 1440, Epsilon 0.40
Episode 304: Reward -40.74, Steps 1440, Epsilon 0.39
Episode 305: Reward -40.76, Steps 1440, Epsilon 0.39
Episode 306: Reward -39.61, Steps 1440, Epsilon 0.39
Episode 307: Reward -41.65, Steps 1440, Epsilon 0.39
Episode 308: Reward -38.99, Steps 1440, Epsilon 0.39
Episode 309: Reward -43.75, Steps 1440, Epsilon 0.39
Episode 310: Reward -41.33, Steps 1440, Epsilon 0.39
Episode 311: Reward -40.42, Steps 1440, Epsilon 0.39
Episode 312: Reward -40.26, Steps 1440, Epsilon 0.39
Episode 313: Reward -43.17, Steps 1440, Epsilon 0.38
Episode 314: Reward -40.73, Steps 1440, Epsilon 0.38
Episode 315: Reward -41.91, Steps 1440, Epsilon 0.38
Episode 316: Reward -42.49, Steps 1440, Epsilon 0.38
Episode 317: Reward -41.17, Steps 1440, Epsilon 0.38
Episode 318: Reward -42.19, Steps 1440, Epsilon 0.38
Episode 319: Reward -42.28, Steps 1440, Epsilon 0.38
Episode 320: Reward -41.96, Steps 1440, Epsilon 0.38
Episode 321: Reward -41.33, Steps 1440, Epsilon 0.38
Episode 322: Reward -43.20, Steps 1440, Epsilon 0.37
Episode 323: Reward -38.68, Steps 1440, Epsilon 0.37
Episode 324: Reward -41.88, Steps 1440, Epsilon 0.37
Episode 325: Reward -41.20, Steps 1440, Epsilon 0.37
Episode 326: Reward -41.04, Steps 1440, Epsilon 0.37
Episode 327: Reward -43.59, Steps 1440, Epsilon 0.37
Episode 328: Reward -41.70, Steps 1440, Epsilon 0.37
Episode 329: Reward -40.38, Steps 1440, Epsilon 0.37
Episode 330: Reward -40.46, Steps 1440, Epsilon 0.37
Episode 331: Reward -39.55, Steps 1440, Epsilon 0.37
Episode 332: Reward -39.73, Steps 1440, Epsilon 0.36
Episode 333: Reward -39.11, Steps 1440, Epsilon 0.36
Episode 334: Reward -39.60, Steps 1440, Epsilon 0.36
Episode 335: Reward -38.54, Steps 1440, Epsilon 0.36
Episode 336: Reward -41.25, Steps 1440, Epsilon 0.36
Episode 337: Reward -38.93, Steps 1440, Epsilon 0.36
Episode 338: Reward -41.32, Steps 1440, Epsilon 0.36
