Training Details:
Episode 169: Reward = -16.50, Steps = 288, Epsilon = 0.59
Episode 170: Reward = -15.53, Steps = 288, Epsilon = 0.59
Episode 171: Reward = -16.20, Steps = 288, Epsilon = 0.59
Episode 172: Reward = -15.03, Steps = 288, Epsilon = 0.59
Episode 173: Reward = -15.48, Steps = 288, Epsilon = 0.58
Episode 174: Reward = -17.97, Steps = 288, Epsilon = 0.58
Episode 175: Reward = -16.84, Steps = 288, Epsilon = 0.58
Episode 176: Reward = -17.03, Steps = 288, Epsilon = 0.58
Episode 177: Reward = -17.82, Steps = 288, Epsilon = 0.58
Episode 178: Reward = -14.52, Steps = 288, Epsilon = 0.57
Episode 179: Reward = -15.60, Steps = 288, Epsilon = 0.57
Episode 180: Reward = -14.18, Steps = 288, Epsilon = 0.57
Episode 181: Reward = -15.06, Steps = 288, Epsilon = 0.57
Episode 182: Reward = -15.22, Steps = 288, Epsilon = 0.57
Episode 183: Reward = -17.20, Steps = 288, Epsilon = 0.57
Episode 184: Reward = -16.11, Steps = 288, Epsilon = 0.56
Episode 185: Reward = -15.74, Steps = 288, Epsilon = 0.56
Episode 186: Reward = -15.22, Steps = 288, Epsilon = 0.56
Episode 187: Reward = -16.11, Steps = 288, Epsilon = 0.56
Episode 188: Reward = -14.11, Steps = 288, Epsilon = 0.56
Episode 189: Reward = -14.35, Steps = 288, Epsilon = 0.56
Episode 190: Reward = -15.78, Steps = 288, Epsilon = 0.55
Episode 191: Reward = -14.64, Steps = 288, Epsilon = 0.55
Episode 192: Reward = -17.84, Steps = 288, Epsilon = 0.55
Episode 193: Reward = -17.11, Steps = 288, Epsilon = 0.55
Episode 194: Reward = -14.59, Steps = 288, Epsilon = 0.55
Episode 195: Reward = -15.48, Steps = 288, Epsilon = 0.55
Episode 196: Reward = -15.82, Steps = 288, Epsilon = 0.54
Episode 197: Reward = -16.73, Steps = 288, Epsilon = 0.54
Episode 198: Reward = -14.97, Steps = 288, Epsilon = 0.54
Episode 199: Reward = -14.09, Steps = 288, Epsilon = 0.54
Episode 200: Reward = -16.47, Steps = 288, Epsilon = 0.54
Episode 201: Reward = -14.18, Steps = 288, Epsilon = 0.54
Episode 202: Reward = -15.93, Steps = 288, Epsilon = 0.53
Episode 203: Reward = -13.35, Steps = 288, Epsilon = 0.53
Episode 204: Reward = -14.31, Steps = 288, Epsilon = 0.53
Episode 205: Reward = -14.57, Steps = 288, Epsilon = 0.53
Episode 206: Reward = -13.99, Steps = 288, Epsilon = 0.53
Episode 207: Reward = -17.24, Steps = 288, Epsilon = 0.53
Episode 208: Reward = -13.58, Steps = 288, Epsilon = 0.52
Episode 209: Reward = -17.61, Steps = 288, Epsilon = 0.52
Episode 210: Reward = -14.57, Steps = 288, Epsilon = 0.52
Episode 211: Reward = -14.09, Steps = 288, Epsilon = 0.52
Episode 212: Reward = -17.16, Steps = 288, Epsilon = 0.52
Episode 213: Reward = -17.38, Steps = 288, Epsilon = 0.52
Episode 214: Reward = -12.90, Steps = 288, Epsilon = 0.52
Episode 215: Reward = -15.78, Steps = 288, Epsilon = 0.51
Episode 216: Reward = -13.05, Steps = 288, Epsilon = 0.51
Episode 217: Reward = -15.01, Steps = 288, Epsilon = 0.51
Episode 218: Reward = -13.59, Steps = 288, Epsilon = 0.51
Episode 219: Reward = -17.06, Steps = 288, Epsilon = 0.51
Episode 220: Reward = -14.22, Steps = 288, Epsilon = 0.51
Episode 221: Reward = -13.38, Steps = 288, Epsilon = 0.50
Episode 222: Reward = -17.25, Steps = 288, Epsilon = 0.50
Episode 223: Reward = -14.43, Steps = 288, Epsilon = 0.50
Episode 224: Reward = -12.94, Steps = 288, Epsilon = 0.50
Episode 225: Reward = -13.68, Steps = 288, Epsilon = 0.50
Episode 226: Reward = -16.42, Steps = 288, Epsilon = 0.50
Episode 227: Reward = -16.86, Steps = 288, Epsilon = 0.50
Episode 228: Reward = -14.35, Steps = 288, Epsilon = 0.49
Episode 229: Reward = -15.30, Steps = 288, Epsilon = 0.49
Episode 230: Reward = -16.70, Steps = 288, Epsilon = 0.49
Episode 231: Reward = -12.44, Steps = 288, Epsilon = 0.49
Episode 232: Reward = -12.21, Steps = 288, Epsilon = 0.49
Episode 233: Reward = -13.16, Steps = 288, Epsilon = 0.49
Episode 234: Reward = -12.47, Steps = 288, Epsilon = 0.49
Episode 235: Reward = -13.47, Steps = 288, Epsilon = 0.48
Episode 236: Reward = -13.45, Steps = 288, Epsilon = 0.48
Episode 237: Reward = -14.04, Steps = 288, Epsilon = 0.48
Episode 238: Reward = -15.57, Steps = 288, Epsilon = 0.48
Episode 239: Reward = -16.70, Steps = 288, Epsilon = 0.48
Episode 240: Reward = -16.03, Steps = 288, Epsilon = 0.48
Episode 241: Reward = -16.54, Steps = 288, Epsilon = 0.48
Episode 242: Reward = -16.31, Steps = 288, Epsilon = 0.47
Episode 243: Reward = -14.35, Steps = 288, Epsilon = 0.47
Episode 244: Reward = -14.00, Steps = 288, Epsilon = 0.47
Episode 245: Reward = -14.00, Steps = 288, Epsilon = 0.47
Episode 246: Reward = -15.31, Steps = 288, Epsilon = 0.47
Episode 247: Reward = -16.32, Steps = 288, Epsilon = 0.47
Episode 248: Reward = -10.63, Steps = 288, Epsilon = 0.47
Episode 249: Reward = -15.38, Steps = 288, Epsilon = 0.46
Episode 250: Reward = -16.83, Steps = 288, Epsilon = 0.46
Episode 251: Reward = -13.92, Steps = 288, Epsilon = 0.46
Episode 252: Reward = -12.97, Steps = 288, Epsilon = 0.46
Episode 253: Reward = -14.66, Steps = 288, Epsilon = 0.46
Episode 254: Reward = -13.57, Steps = 288, Epsilon = 0.46
Episode 255: Reward = -12.70, Steps = 288, Epsilon = 0.46
Episode 256: Reward = -15.21, Steps = 288, Epsilon = 0.45
Episode 257: Reward = -15.00, Steps = 288, Epsilon = 0.45
