Training Details:
Episode 194: Reward = -11.18, Steps = 288, Epsilon = 0.55
Episode 195: Reward = -15.37, Steps = 288, Epsilon = 0.55
Episode 196: Reward = -14.16, Steps = 288, Epsilon = 0.54
Episode 197: Reward = -15.16, Steps = 288, Epsilon = 0.54
Episode 198: Reward = -14.76, Steps = 288, Epsilon = 0.54
Episode 199: Reward = -14.91, Steps = 288, Epsilon = 0.54
Episode 200: Reward = -12.82, Steps = 288, Epsilon = 0.54
Episode 201: Reward = -15.58, Steps = 288, Epsilon = 0.54
Episode 202: Reward = -13.95, Steps = 288, Epsilon = 0.53
Episode 203: Reward = -14.29, Steps = 288, Epsilon = 0.53
Episode 204: Reward = -14.39, Steps = 288, Epsilon = 0.53
Episode 205: Reward = -14.14, Steps = 288, Epsilon = 0.53
Episode 206: Reward = -14.22, Steps = 288, Epsilon = 0.53
Episode 207: Reward = -13.89, Steps = 288, Epsilon = 0.53
Episode 208: Reward = -12.49, Steps = 288, Epsilon = 0.52
Episode 209: Reward = -12.24, Steps = 288, Epsilon = 0.52
Episode 210: Reward = -13.75, Steps = 288, Epsilon = 0.52
Episode 211: Reward = -15.04, Steps = 288, Epsilon = 0.52
Episode 212: Reward = -14.49, Steps = 288, Epsilon = 0.52
Episode 213: Reward = -13.41, Steps = 288, Epsilon = 0.52
Episode 214: Reward = -15.25, Steps = 288, Epsilon = 0.52
Episode 215: Reward = -13.22, Steps = 288, Epsilon = 0.51
Episode 216: Reward = -14.42, Steps = 288, Epsilon = 0.51
Episode 217: Reward = -12.71, Steps = 288, Epsilon = 0.51
Episode 218: Reward = -11.93, Steps = 288, Epsilon = 0.51
Episode 219: Reward = -12.28, Steps = 288, Epsilon = 0.51
Episode 220: Reward = -12.47, Steps = 288, Epsilon = 0.51
Episode 221: Reward = -11.62, Steps = 288, Epsilon = 0.50
Episode 222: Reward = -15.36, Steps = 288, Epsilon = 0.50
Episode 223: Reward = -12.70, Steps = 288, Epsilon = 0.50
Episode 224: Reward = -11.49, Steps = 288, Epsilon = 0.50
Episode 225: Reward = -12.88, Steps = 288, Epsilon = 0.50
Episode 226: Reward = -11.64, Steps = 288, Epsilon = 0.50
Episode 227: Reward = -11.44, Steps = 288, Epsilon = 0.50
Episode 228: Reward = -12.57, Steps = 288, Epsilon = 0.49
Episode 229: Reward = -13.12, Steps = 288, Epsilon = 0.49
Episode 230: Reward = -10.67, Steps = 288, Epsilon = 0.49
Episode 231: Reward = -11.55, Steps = 288, Epsilon = 0.49
Episode 232: Reward = -13.37, Steps = 288, Epsilon = 0.49
Episode 233: Reward = -9.52, Steps = 288, Epsilon = 0.49
Episode 234: Reward = -13.51, Steps = 288, Epsilon = 0.49
Episode 235: Reward = -11.02, Steps = 288, Epsilon = 0.48
Episode 236: Reward = -10.99, Steps = 288, Epsilon = 0.48
Episode 237: Reward = -12.81, Steps = 288, Epsilon = 0.48
Episode 238: Reward = -12.96, Steps = 288, Epsilon = 0.48
Episode 239: Reward = -12.01, Steps = 288, Epsilon = 0.48
Episode 240: Reward = -11.62, Steps = 288, Epsilon = 0.48
Episode 241: Reward = -10.49, Steps = 288, Epsilon = 0.48
Episode 242: Reward = -10.83, Steps = 288, Epsilon = 0.47
Episode 243: Reward = -10.16, Steps = 288, Epsilon = 0.47
Episode 244: Reward = -11.37, Steps = 288, Epsilon = 0.47
Episode 245: Reward = -12.32, Steps = 288, Epsilon = 0.47
Episode 246: Reward = -12.95, Steps = 288, Epsilon = 0.47
Episode 247: Reward = -13.23, Steps = 288, Epsilon = 0.47
Episode 248: Reward = -11.77, Steps = 288, Epsilon = 0.47
Episode 249: Reward = -12.14, Steps = 288, Epsilon = 0.46
Episode 250: Reward = -12.96, Steps = 288, Epsilon = 0.46
Episode 251: Reward = -13.32, Steps = 288, Epsilon = 0.46
Episode 252: Reward = -10.07, Steps = 288, Epsilon = 0.46
Episode 253: Reward = -12.36, Steps = 288, Epsilon = 0.46
Episode 254: Reward = -14.72, Steps = 288, Epsilon = 0.46
Episode 255: Reward = -10.64, Steps = 288, Epsilon = 0.46
Episode 256: Reward = -13.53, Steps = 288, Epsilon = 0.45
Episode 257: Reward = -10.81, Steps = 288, Epsilon = 0.45
Episode 258: Reward = -11.14, Steps = 288, Epsilon = 0.45
Episode 259: Reward = -10.79, Steps = 288, Epsilon = 0.45
Episode 260: Reward = -14.25, Steps = 288, Epsilon = 0.45
Episode 261: Reward = -10.48, Steps = 288, Epsilon = 0.45
Episode 262: Reward = -10.82, Steps = 288, Epsilon = 0.45
Episode 263: Reward = -8.65, Steps = 288, Epsilon = 0.45
Episode 264: Reward = -11.25, Steps = 288, Epsilon = 0.44
Episode 265: Reward = -10.99, Steps = 288, Epsilon = 0.44
Episode 266: Reward = -11.86, Steps = 288, Epsilon = 0.44
Episode 267: Reward = -11.54, Steps = 288, Epsilon = 0.44
Episode 268: Reward = -11.12, Steps = 288, Epsilon = 0.44
Episode 269: Reward = -11.83, Steps = 288, Epsilon = 0.44
Episode 270: Reward = -10.28, Steps = 288, Epsilon = 0.44
Episode 271: Reward = -12.03, Steps = 288, Epsilon = 0.43
Episode 272: Reward = -10.03, Steps = 288, Epsilon = 0.43
Episode 273: Reward = -9.13, Steps = 288, Epsilon = 0.43
Episode 274: Reward = -9.59, Steps = 288, Epsilon = 0.43
Episode 275: Reward = -12.32, Steps = 288, Epsilon = 0.43
Episode 276: Reward = -12.26, Steps = 288, Epsilon = 0.43
Episode 277: Reward = -10.25, Steps = 288, Epsilon = 0.43
Episode 278: Reward = -8.74, Steps = 288, Epsilon = 0.43
Episode 279: Reward = -10.57, Steps = 288, Epsilon = 0.42
Episode 280: Reward = -10.85, Steps = 288, Epsilon = 0.42
Episode 281: Reward = -10.47, Steps = 288, Epsilon = 0.42
Episode 282: Reward = -9.17, Steps = 288, Epsilon = 0.42
Episode 283: Reward = -11.84, Steps = 288, Epsilon = 0.42
Episode 284: Reward = -11.60, Steps = 288, Epsilon = 0.42
Episode 285: Reward = -9.01, Steps = 288, Epsilon = 0.42
Episode 286: Reward = -11.79, Steps = 288, Epsilon = 0.42
Episode 287: Reward = -11.05, Steps = 288, Epsilon = 0.41
Episode 288: Reward = -8.60, Steps = 288, Epsilon = 0.41
Episode 289: Reward = -8.61, Steps = 288, Epsilon = 0.41
Episode 290: Reward = -8.87, Steps = 288, Epsilon = 0.41
Episode 291: Reward = -8.56, Steps = 288, Epsilon = 0.41
Episode 292: Reward = -10.93, Steps = 288, Epsilon = 0.41
Episode 293: Reward = -11.56, Steps = 288, Epsilon = 0.41
Episode 294: Reward = -12.22, Steps = 288, Epsilon = 0.41
Episode 295: Reward = -10.82, Steps = 288, Epsilon = 0.41
Episode 296: Reward = -9.96, Steps = 288, Epsilon = 0.40
Episode 297: Reward = -9.53, Steps = 288, Epsilon = 0.40
Episode 298: Reward = -11.57, Steps = 288, Epsilon = 0.40
Episode 299: Reward = -9.22, Steps = 288, Epsilon = 0.40
Episode 300: Reward = -10.96, Steps = 288, Epsilon = 0.40
Episode 301: Reward = -9.67, Steps = 288, Epsilon = 0.40
Episode 302: Reward = -12.47, Steps = 288, Epsilon = 0.40
Episode 303: Reward = -12.08, Steps = 288, Epsilon = 0.40
Episode 304: Reward = -11.44, Steps = 288, Epsilon = 0.39
Episode 305: Reward = -10.25, Steps = 288, Epsilon = 0.39
Episode 306: Reward = -10.40, Steps = 288, Epsilon = 0.39
Episode 307: Reward = -10.40, Steps = 288, Epsilon = 0.39
Episode 308: Reward = -11.32, Steps = 288, Epsilon = 0.39
Episode 309: Reward = -11.88, Steps = 288, Epsilon = 0.39
Episode 310: Reward = -8.60, Steps = 288, Epsilon = 0.39
Episode 311: Reward = -8.54, Steps = 288, Epsilon = 0.39
Episode 312: Reward = -11.61, Steps = 288, Epsilon = 0.39
Episode 313: Reward = -10.10, Steps = 288, Epsilon = 0.38
Episode 314: Reward = -9.87, Steps = 288, Epsilon = 0.38
Episode 315: Reward = -11.53, Steps = 288, Epsilon = 0.38
Episode 316: Reward = -9.29, Steps = 288, Epsilon = 0.38
Episode 317: Reward = -10.74, Steps = 288, Epsilon = 0.38
Episode 318: Reward = -11.38, Steps = 288, Epsilon = 0.38
Episode 319: Reward = -8.53, Steps = 288, Epsilon = 0.38
Episode 320: Reward = -9.63, Steps = 288, Epsilon = 0.38
Episode 321: Reward = -8.38, Steps = 288, Epsilon = 0.38
Episode 322: Reward = -8.29, Steps = 288, Epsilon = 0.37
Episode 323: Reward = -11.75, Steps = 288, Epsilon = 0.37
Episode 324: Reward = -8.81, Steps = 288, Epsilon = 0.37
Episode 325: Reward = -9.49, Steps = 288, Epsilon = 0.37
Episode 326: Reward = -12.34, Steps = 288, Epsilon = 0.37
Episode 327: Reward = -10.13, Steps = 288, Epsilon = 0.37
Episode 328: Reward = -9.97, Steps = 288, Epsilon = 0.37
Episode 329: Reward = -8.60, Steps = 288, Epsilon = 0.37
Episode 330: Reward = -10.22, Steps = 288, Epsilon = 0.37
Episode 331: Reward = -10.23, Steps = 288, Epsilon = 0.37
Episode 332: Reward = -10.27, Steps = 288, Epsilon = 0.36
Episode 333: Reward = -9.16, Steps = 288, Epsilon = 0.36
Episode 334: Reward = -10.08, Steps = 288, Epsilon = 0.36
