Training Details:
Episode 240: Reward -297.76, Steps 8640, Epsilon 0.48
Episode 241: Reward -291.52, Steps 8640, Epsilon 0.48
Episode 242: Reward -290.26, Steps 8640, Epsilon 0.47
Episode 243: Reward -282.70, Steps 8640, Epsilon 0.47
Episode 244: Reward -293.87, Steps 8640, Epsilon 0.47
Episode 245: Reward -283.05, Steps 8640, Epsilon 0.47
Episode 246: Reward -290.18, Steps 8640, Epsilon 0.47
Episode 247: Reward -292.45, Steps 8640, Epsilon 0.47
Episode 248: Reward -290.85, Steps 8640, Epsilon 0.47
Episode 249: Reward -289.77, Steps 8640, Epsilon 0.46
Episode 250: Reward -294.34, Steps 8640, Epsilon 0.46
Episode 251: Reward -280.31, Steps 8640, Epsilon 0.46
Episode 252: Reward -286.97, Steps 8640, Epsilon 0.46
Episode 253: Reward -287.62, Steps 8640, Epsilon 0.46
Episode 254: Reward -285.96, Steps 8640, Epsilon 0.46
Episode 255: Reward -286.16, Steps 8640, Epsilon 0.46
Episode 256: Reward -292.15, Steps 8640, Epsilon 0.45
Episode 257: Reward -283.67, Steps 8640, Epsilon 0.45
Episode 258: Reward -280.71, Steps 8640, Epsilon 0.45
Episode 259: Reward -283.90, Steps 8640, Epsilon 0.45
Episode 260: Reward -288.64, Steps 8640, Epsilon 0.45
Episode 261: Reward -291.20, Steps 8640, Epsilon 0.45
Episode 262: Reward -286.52, Steps 8640, Epsilon 0.45
Episode 263: Reward -287.31, Steps 8640, Epsilon 0.45
Episode 264: Reward -283.65, Steps 8640, Epsilon 0.44
Episode 265: Reward -284.10, Steps 8640, Epsilon 0.44
Episode 266: Reward -289.57, Steps 8640, Epsilon 0.44
Episode 267: Reward -281.39, Steps 8640, Epsilon 0.44
Episode 268: Reward -287.31, Steps 8640, Epsilon 0.44
Episode 269: Reward -279.50, Steps 8640, Epsilon 0.44
Episode 270: Reward -284.58, Steps 8640, Epsilon 0.44
Episode 271: Reward -278.56, Steps 8640, Epsilon 0.43
Episode 272: Reward -279.30, Steps 8640, Epsilon 0.43
Episode 273: Reward -272.03, Steps 8640, Epsilon 0.43
Episode 274: Reward -279.84, Steps 8640, Epsilon 0.43
Episode 275: Reward -280.62, Steps 8640, Epsilon 0.43
Episode 276: Reward -272.93, Steps 8640, Epsilon 0.43
Episode 277: Reward -279.43, Steps 8640, Epsilon 0.43
Episode 278: Reward -274.80, Steps 8640, Epsilon 0.43
Episode 279: Reward -279.26, Steps 8640, Epsilon 0.42
Episode 280: Reward -276.77, Steps 8640, Epsilon 0.42
Episode 281: Reward -280.81, Steps 8640, Epsilon 0.42
Episode 282: Reward -275.58, Steps 8640, Epsilon 0.42
Episode 283: Reward -277.68, Steps 8640, Epsilon 0.42
Episode 284: Reward -281.59, Steps 8640, Epsilon 0.42
Episode 285: Reward -276.34, Steps 8640, Epsilon 0.42
Episode 286: Reward -271.71, Steps 8640, Epsilon 0.42
Episode 287: Reward -274.96, Steps 8640, Epsilon 0.41
Episode 288: Reward -281.60, Steps 8640, Epsilon 0.41
Episode 289: Reward -270.89, Steps 8640, Epsilon 0.41
Episode 290: Reward -276.01, Steps 8640, Epsilon 0.41
Episode 291: Reward -268.68, Steps 8640, Epsilon 0.41
Episode 292: Reward -266.24, Steps 8640, Epsilon 0.41
Episode 293: Reward -269.50, Steps 8640, Epsilon 0.41
Episode 294: Reward -272.15, Steps 8640, Epsilon 0.41
Episode 295: Reward -276.32, Steps 8640, Epsilon 0.41
Episode 296: Reward -272.85, Steps 8640, Epsilon 0.40
Episode 297: Reward -274.89, Steps 8640, Epsilon 0.40
Episode 298: Reward -280.34, Steps 8640, Epsilon 0.40
Episode 299: Reward -284.43, Steps 8640, Epsilon 0.40
Episode 300: Reward -273.62, Steps 8640, Epsilon 0.40
Episode 301: Reward -282.32, Steps 8640, Epsilon 0.40
Episode 302: Reward -273.86, Steps 8640, Epsilon 0.40
Episode 303: Reward -270.85, Steps 8640, Epsilon 0.40
Episode 304: Reward -275.53, Steps 8640, Epsilon 0.39
Episode 305: Reward -274.33, Steps 8640, Epsilon 0.39
Episode 306: Reward -278.21, Steps 8640, Epsilon 0.39
Episode 307: Reward -275.12, Steps 8640, Epsilon 0.39
Episode 308: Reward -272.30, Steps 8640, Epsilon 0.39
Episode 309: Reward -270.10, Steps 8640, Epsilon 0.39
Episode 310: Reward -269.75, Steps 8640, Epsilon 0.39
Episode 311: Reward -260.98, Steps 8640, Epsilon 0.39
Episode 312: Reward -273.11, Steps 8640, Epsilon 0.39
Episode 313: Reward -270.61, Steps 8640, Epsilon 0.38
Episode 314: Reward -274.02, Steps 8640, Epsilon 0.38
Episode 315: Reward -276.92, Steps 8640, Epsilon 0.38
Episode 316: Reward -267.85, Steps 8640, Epsilon 0.38
Episode 317: Reward -271.41, Steps 8640, Epsilon 0.38
Episode 318: Reward -268.32, Steps 8640, Epsilon 0.38
Episode 319: Reward -268.88, Steps 8640, Epsilon 0.38
Episode 320: Reward -268.25, Steps 8640, Epsilon 0.38
Episode 321: Reward -265.90, Steps 8640, Epsilon 0.38
Episode 322: Reward -272.55, Steps 8640, Epsilon 0.37
Episode 323: Reward -263.39, Steps 8640, Epsilon 0.37
Episode 324: Reward -264.02, Steps 8640, Epsilon 0.37
Episode 325: Reward -267.70, Steps 8640, Epsilon 0.37
