Training Details:
Episode 169: Reward -21.63, Steps 288, Epsilon 0.59
Episode 170: Reward -22.05, Steps 288, Epsilon 0.59
Episode 171: Reward -19.24, Steps 288, Epsilon 0.59
Episode 172: Reward -20.97, Steps 288, Epsilon 0.59
Episode 173: Reward -21.45, Steps 288, Epsilon 0.58
Episode 174: Reward -20.98, Steps 288, Epsilon 0.58
Episode 175: Reward -22.53, Steps 288, Epsilon 0.58
Episode 176: Reward -22.96, Steps 288, Epsilon 0.58
Episode 177: Reward -20.52, Steps 288, Epsilon 0.58
Episode 178: Reward -23.56, Steps 288, Epsilon 0.57
Episode 179: Reward -25.60, Steps 288, Epsilon 0.57
Episode 180: Reward -23.19, Steps 288, Epsilon 0.57
Episode 181: Reward -17.99, Steps 288, Epsilon 0.57
Episode 182: Reward -19.69, Steps 288, Epsilon 0.57
Episode 183: Reward -21.09, Steps 288, Epsilon 0.57
Episode 184: Reward -28.00, Steps 288, Epsilon 0.56
Episode 185: Reward -22.94, Steps 288, Epsilon 0.56
Episode 186: Reward -20.60, Steps 288, Epsilon 0.56
Episode 187: Reward -22.57, Steps 288, Epsilon 0.56
Episode 188: Reward -23.20, Steps 288, Epsilon 0.56
Episode 189: Reward -24.46, Steps 288, Epsilon 0.56
Episode 190: Reward -18.14, Steps 288, Epsilon 0.55
Episode 191: Reward -20.51, Steps 288, Epsilon 0.55
Episode 192: Reward -17.68, Steps 288, Epsilon 0.55
Episode 193: Reward -20.54, Steps 288, Epsilon 0.55
Episode 194: Reward -22.72, Steps 288, Epsilon 0.55
Episode 195: Reward -20.85, Steps 288, Epsilon 0.55
Episode 196: Reward -21.65, Steps 288, Epsilon 0.54
Episode 197: Reward -18.09, Steps 288, Epsilon 0.54
Episode 198: Reward -18.37, Steps 288, Epsilon 0.54
Episode 199: Reward -22.63, Steps 288, Epsilon 0.54
Episode 200: Reward -23.20, Steps 288, Epsilon 0.54
Episode 201: Reward -19.60, Steps 288, Epsilon 0.54
Episode 202: Reward -23.41, Steps 288, Epsilon 0.53
Episode 203: Reward -20.64, Steps 288, Epsilon 0.53
Episode 204: Reward -21.33, Steps 288, Epsilon 0.53
Episode 205: Reward -23.67, Steps 288, Epsilon 0.53
Episode 206: Reward -23.97, Steps 288, Epsilon 0.53
Episode 207: Reward -21.81, Steps 288, Epsilon 0.53
Episode 208: Reward -20.50, Steps 288, Epsilon 0.52
Episode 209: Reward -24.41, Steps 288, Epsilon 0.52
Episode 210: Reward -19.38, Steps 288, Epsilon 0.52
Episode 211: Reward -20.77, Steps 288, Epsilon 0.52
Episode 212: Reward -21.04, Steps 288, Epsilon 0.52
Episode 213: Reward -17.85, Steps 288, Epsilon 0.52
Episode 214: Reward -20.42, Steps 288, Epsilon 0.52
Episode 215: Reward -21.23, Steps 288, Epsilon 0.51
Episode 216: Reward -23.15, Steps 288, Epsilon 0.51
Episode 217: Reward -21.60, Steps 288, Epsilon 0.51
Episode 218: Reward -20.17, Steps 288, Epsilon 0.51
Episode 219: Reward -21.73, Steps 288, Epsilon 0.51
Episode 220: Reward -21.30, Steps 288, Epsilon 0.51
Episode 221: Reward -21.70, Steps 288, Epsilon 0.50
Episode 222: Reward -21.41, Steps 288, Epsilon 0.50
Episode 223: Reward -20.28, Steps 288, Epsilon 0.50
Episode 224: Reward -23.31, Steps 288, Epsilon 0.50
Episode 225: Reward -24.53, Steps 288, Epsilon 0.50
Episode 226: Reward -20.80, Steps 288, Epsilon 0.50
Episode 227: Reward -26.44, Steps 288, Epsilon 0.50
Episode 228: Reward -22.71, Steps 288, Epsilon 0.49
Episode 229: Reward -23.44, Steps 288, Epsilon 0.49
Episode 230: Reward -23.36, Steps 288, Epsilon 0.49
Episode 231: Reward -18.37, Steps 288, Epsilon 0.49
Episode 232: Reward -22.09, Steps 288, Epsilon 0.49
Episode 233: Reward -19.27, Steps 288, Epsilon 0.49
Episode 234: Reward -17.62, Steps 288, Epsilon 0.49
Episode 235: Reward -20.55, Steps 288, Epsilon 0.48
Episode 236: Reward -27.54, Steps 288, Epsilon 0.48
Episode 237: Reward -18.54, Steps 288, Epsilon 0.48
Episode 238: Reward -24.45, Steps 288, Epsilon 0.48
Episode 239: Reward -23.98, Steps 288, Epsilon 0.48
Episode 240: Reward -18.19, Steps 288, Epsilon 0.48
Episode 241: Reward -26.64, Steps 288, Epsilon 0.48
Episode 242: Reward -24.26, Steps 288, Epsilon 0.47
Episode 243: Reward -18.56, Steps 288, Epsilon 0.47
Episode 244: Reward -18.34, Steps 288, Epsilon 0.47
Episode 245: Reward -18.15, Steps 288, Epsilon 0.47
Episode 246: Reward -22.82, Steps 288, Epsilon 0.47
Episode 247: Reward -17.92, Steps 288, Epsilon 0.47
Episode 248: Reward -15.50, Steps 288, Epsilon 0.47
Episode 249: Reward -19.93, Steps 288, Epsilon 0.46
Episode 250: Reward -17.55, Steps 288, Epsilon 0.46
Episode 251: Reward -18.84, Steps 288, Epsilon 0.46
Episode 252: Reward -20.10, Steps 288, Epsilon 0.46
Episode 253: Reward -22.66, Steps 288, Epsilon 0.46
Episode 254: Reward -22.66, Steps 288, Epsilon 0.46
Episode 255: Reward -25.72, Steps 288, Epsilon 0.46
Episode 256: Reward -17.89, Steps 288, Epsilon 0.45
Episode 257: Reward -18.41, Steps 288, Epsilon 0.45
Episode 258: Reward -16.52, Steps 288, Epsilon 0.45
Episode 259: Reward -21.23, Steps 288, Epsilon 0.45
Episode 260: Reward -19.91, Steps 288, Epsilon 0.45
Episode 261: Reward -23.24, Steps 288, Epsilon 0.45
Episode 262: Reward -20.49, Steps 288, Epsilon 0.45
Episode 263: Reward -25.66, Steps 288, Epsilon 0.45
Episode 264: Reward -21.26, Steps 288, Epsilon 0.44
Episode 265: Reward -20.50, Steps 288, Epsilon 0.44
Episode 266: Reward -20.98, Steps 288, Epsilon 0.44
Episode 267: Reward -21.72, Steps 288, Epsilon 0.44
Episode 268: Reward -25.04, Steps 288, Epsilon 0.44
Episode 269: Reward -21.75, Steps 288, Epsilon 0.44
Episode 270: Reward -22.23, Steps 288, Epsilon 0.44
Episode 271: Reward -18.52, Steps 288, Epsilon 0.43
Episode 272: Reward -17.25, Steps 288, Epsilon 0.43
Episode 273: Reward -21.50, Steps 288, Epsilon 0.43
Episode 274: Reward -19.41, Steps 288, Epsilon 0.43
Episode 275: Reward -21.65, Steps 288, Epsilon 0.43
Episode 276: Reward -16.19, Steps 288, Epsilon 0.43
Episode 277: Reward -21.73, Steps 288, Epsilon 0.43
Episode 278: Reward -21.17, Steps 288, Epsilon 0.43
Episode 279: Reward -22.05, Steps 288, Epsilon 0.42
Episode 280: Reward -19.05, Steps 288, Epsilon 0.42
Episode 281: Reward -18.55, Steps 288, Epsilon 0.42
Episode 282: Reward -19.88, Steps 288, Epsilon 0.42
Episode 283: Reward -24.18, Steps 288, Epsilon 0.42
Episode 284: Reward -19.72, Steps 288, Epsilon 0.42
Episode 285: Reward -21.28, Steps 288, Epsilon 0.42
Episode 286: Reward -19.42, Steps 288, Epsilon 0.42
Episode 287: Reward -22.66, Steps 288, Epsilon 0.41
Episode 288: Reward -18.58, Steps 288, Epsilon 0.41
Episode 289: Reward -17.98, Steps 288, Epsilon 0.41
Episode 290: Reward -21.53, Steps 288, Epsilon 0.41
Episode 291: Reward -21.63, Steps 288, Epsilon 0.41
Episode 292: Reward -21.56, Steps 288, Epsilon 0.41
Episode 293: Reward -21.18, Steps 288, Epsilon 0.41
Episode 294: Reward -22.03, Steps 288, Epsilon 0.41
Episode 295: Reward -24.47, Steps 288, Epsilon 0.41
Episode 296: Reward -17.38, Steps 288, Epsilon 0.40
Episode 297: Reward -16.25, Steps 288, Epsilon 0.40
Episode 298: Reward -24.57, Steps 288, Epsilon 0.40
Episode 299: Reward -20.22, Steps 288, Epsilon 0.40
Episode 300: Reward -21.43, Steps 288, Epsilon 0.40
Episode 301: Reward -23.02, Steps 288, Epsilon 0.40
Episode 302: Reward -20.11, Steps 288, Epsilon 0.40
Episode 303: Reward -22.65, Steps 288, Epsilon 0.40
Episode 304: Reward -18.89, Steps 288, Epsilon 0.39
Episode 305: Reward -22.97, Steps 288, Epsilon 0.39
Episode 306: Reward -22.63, Steps 288, Epsilon 0.39
Episode 307: Reward -18.26, Steps 288, Epsilon 0.39
Episode 308: Reward -24.35, Steps 288, Epsilon 0.39
Episode 309: Reward -21.31, Steps 288, Epsilon 0.39
Episode 310: Reward -25.02, Steps 288, Epsilon 0.39
Episode 311: Reward -19.17, Steps 288, Epsilon 0.39
Episode 312: Reward -21.49, Steps 288, Epsilon 0.39
Episode 313: Reward -21.07, Steps 288, Epsilon 0.38
Episode 314: Reward -21.15, Steps 288, Epsilon 0.38
Episode 315: Reward -25.16, Steps 288, Epsilon 0.38
Episode 316: Reward -26.07, Steps 288, Epsilon 0.38
Episode 317: Reward -24.26, Steps 288, Epsilon 0.38
Episode 318: Reward -23.10, Steps 288, Epsilon 0.38
Episode 319: Reward -22.10, Steps 288, Epsilon 0.38
Episode 320: Reward -20.34, Steps 288, Epsilon 0.38
Episode 321: Reward -19.57, Steps 288, Epsilon 0.38
Episode 322: Reward -17.75, Steps 288, Epsilon 0.37
Episode 323: Reward -22.10, Steps 288, Epsilon 0.37
Episode 324: Reward -21.04, Steps 288, Epsilon 0.37
Episode 325: Reward -15.77, Steps 288, Epsilon 0.37
Episode 326: Reward -20.57, Steps 288, Epsilon 0.37
Episode 327: Reward -17.29, Steps 288, Epsilon 0.37
Episode 328: Reward -21.74, Steps 288, Epsilon 0.37
Episode 329: Reward -19.79, Steps 288, Epsilon 0.37
Episode 330: Reward -20.29, Steps 288, Epsilon 0.37
Episode 331: Reward -18.32, Steps 288, Epsilon 0.37
Episode 332: Reward -22.03, Steps 288, Epsilon 0.36
Episode 333: Reward -18.32, Steps 288, Epsilon 0.36
Episode 334: Reward -22.42, Steps 288, Epsilon 0.36
Episode 335: Reward -21.48, Steps 288, Epsilon 0.36
Episode 336: Reward -22.28, Steps 288, Epsilon 0.36
Episode 337: Reward -18.60, Steps 288, Epsilon 0.36
Episode 338: Reward -20.07, Steps 288, Epsilon 0.36
Episode 339: Reward -15.90, Steps 288, Epsilon 0.36
Episode 340: Reward -26.40, Steps 288, Epsilon 0.36
Episode 341: Reward -20.34, Steps 288, Epsilon 0.35
Episode 342: Reward -16.46, Steps 288, Epsilon 0.35
Episode 343: Reward -22.27, Steps 288, Epsilon 0.35
Episode 344: Reward -21.98, Steps 288, Epsilon 0.35
Episode 345: Reward -23.82, Steps 288, Epsilon 0.35
Episode 346: Reward -22.63, Steps 288, Epsilon 0.35
Episode 347: Reward -22.06, Steps 288, Epsilon 0.35
Episode 348: Reward -19.29, Steps 288, Epsilon 0.35
Episode 349: Reward -25.26, Steps 288, Epsilon 0.35
Episode 350: Reward -24.06, Steps 288, Epsilon 0.35
Episode 351: Reward -16.68, Steps 288, Epsilon 0.34
Episode 352: Reward -19.90, Steps 288, Epsilon 0.34
Episode 353: Reward -19.82, Steps 288, Epsilon 0.34
Episode 354: Reward -24.14, Steps 288, Epsilon 0.34
Episode 355: Reward -19.63, Steps 288, Epsilon 0.34
Episode 356: Reward -19.73, Steps 288, Epsilon 0.34
Episode 357: Reward -25.54, Steps 288, Epsilon 0.34
Episode 358: Reward -20.79, Steps 288, Epsilon 0.34
Episode 359: Reward -20.06, Steps 288, Epsilon 0.34
Episode 360: Reward -19.32, Steps 288, Epsilon 0.34
Episode 361: Reward -25.50, Steps 288, Epsilon 0.34
Episode 362: Reward -18.76, Steps 288, Epsilon 0.33
Episode 363: Reward -19.93, Steps 288, Epsilon 0.33
Episode 364: Reward -18.51, Steps 288, Epsilon 0.33
Episode 365: Reward -20.48, Steps 288, Epsilon 0.33
Episode 366: Reward -20.98, Steps 288, Epsilon 0.33
Episode 367: Reward -19.84, Steps 288, Epsilon 0.33
Episode 368: Reward -21.47, Steps 288, Epsilon 0.33
Episode 369: Reward -24.71, Steps 288, Epsilon 0.33
Episode 370: Reward -18.86, Steps 288, Epsilon 0.33
Episode 371: Reward -21.44, Steps 288, Epsilon 0.33
Episode 372: Reward -21.96, Steps 288, Epsilon 0.32
Episode 373: Reward -17.18, Steps 288, Epsilon 0.32
Episode 374: Reward -21.92, Steps 288, Epsilon 0.32
Episode 375: Reward -22.10, Steps 288, Epsilon 0.32
Episode 376: Reward -15.35, Steps 288, Epsilon 0.32
Episode 377: Reward -21.08, Steps 288, Epsilon 0.32
Episode 378: Reward -18.07, Steps 288, Epsilon 0.32
Episode 379: Reward -17.82, Steps 288, Epsilon 0.32
Episode 380: Reward -25.72, Steps 288, Epsilon 0.32
Episode 381: Reward -22.21, Steps 288, Epsilon 0.32
Episode 382: Reward -17.63, Steps 288, Epsilon 0.32
Episode 383: Reward -23.36, Steps 288, Epsilon 0.32
Episode 384: Reward -19.76, Steps 288, Epsilon 0.31
Episode 385: Reward -17.31, Steps 288, Epsilon 0.31
Episode 386: Reward -19.01, Steps 288, Epsilon 0.31
Episode 387: Reward -18.32, Steps 288, Epsilon 0.31
Episode 388: Reward -20.80, Steps 288, Epsilon 0.31
Episode 389: Reward -20.95, Steps 288, Epsilon 0.31
Episode 390: Reward -21.88, Steps 288, Epsilon 0.31
Episode 391: Reward -21.40, Steps 288, Epsilon 0.31
Episode 392: Reward -23.09, Steps 288, Epsilon 0.31
Episode 393: Reward -19.87, Steps 288, Epsilon 0.31
Episode 394: Reward -18.41, Steps 288, Epsilon 0.31
Episode 395: Reward -20.21, Steps 288, Epsilon 0.30
Episode 396: Reward -24.60, Steps 288, Epsilon 0.30
Episode 397: Reward -18.86, Steps 288, Epsilon 0.30
Episode 398: Reward -23.92, Steps 288, Epsilon 0.30
Episode 399: Reward -17.89, Steps 288, Epsilon 0.30
Episode 400: Reward -22.21, Steps 288, Epsilon 0.30
Episode 401: Reward -24.93, Steps 288, Epsilon 0.30
